id,spec,lat,long,sp10.1,sp10.2,sp10.3,sp14.1,sp14.2,morph,inguinal_scute
302,MVZ 36269,38.5618333,122.4146917,marm,marm,marm,marm,NA,marm,1
303,CAS 203712,38.5333,121.7558,marm,marm,marm,marm,NA,marm,1
305,CAS 203714,38.5333,121.7558,marm,marm,marm,marm,NA,marm,1
306,CAS 203715,38.5333,121.7558,marm,marm,marm,marm,NA,marm,1
309,CAS 20762,38.3583,123.0386,marm,marm,marm,marm,NA,marm,1
310,MVZ 3823,38.3575615999999,122.0416581,marm,marm,marm,marm,NA,marm,1
311,MVZ 3824,38.3575615999999,122.0416581,marm,marm,marm,marm,NA,marm,1
312,MVZ 3825,38.3575615999999,122.0416581,marm,marm,marm,marm,NA,marm,1
314,LSUMZ 29561,38.34894,123.07667,marm,marm,marm,marm,NA,marm,1
317,CAS 13176,38.3389,122.3817,marm,marm,marm,marm,NA,marm,1
318,CAS 13897,38.3153,119.0917,marm,marm,SJ,marm,NA,NA,1
319,MVZ 78784,38.1853085999999,122.0540669,marm,marm,marm,marm,NA,marm,1
320,MVZ 40576,38.1192781,122.8213215,marm,marm,marm,marm,NA,marm,1
322,NMNH 9971,38.061687,122.698933,marm,marm,marm,marm,NA,marm,1
323,NMNH 220748,38.061687,122.698933,marm,marm,marm,marm,NA,marm,1
324,NMNH 220749,38.061687,122.698933,marm,marm,marm,marm,NA,marm,0
327,NMNH 220752,38.061687,122.698933,marm,marm,marm,marm,NA,marm,NA
328,CAS 188531,38.0397,120.2317,marm,marm,SJ,marm,Foothill,NA,1
329,JRB unnumbered marm b,37.961696,120.241885,marm,marm,SJ,marm,Foothill,NA,1
330,CAS 43527,37.95778,121.28972,CCR,CCR,CCR,marm,NA,NA,1
332,MVZ 229219,37.9511805,121.962871699999,CCR,CCR,CCR,NA,NA,NA,1
333,MVZ 78786,37.947488,119.787659,marm,marm,SJ,marm,Foothill,NA,0
334,JRB 0242,37.945781,122.141954,marm,marm,marm,NA,NA,marm,1
335,CAS 186108,37.94333,122.26056,CCR,CCR,CCR,NA,NA,NA,1
337,MVZ 100397,37.8964,122.3542,CCR,CCR,CCR,NA,NA,NA,1
